DATE,TIME,Home,Away
3/3/2018,15:00,Southampton,Stoke
3/3/2018,15:00,Swansea,West Ham
3/3/2018,15:00,Tottenham,Huddersfield
3/3/2018,15:00,Watford,West Brom
3/10/2018,15:00,Arsenal,Watford
3/10/2018,15:00,Bournemouth,Tottenham
3/10/2018,15:00,Chelsea,Crystal Palace
3/10/2018,15:00,Everton,Brighton
3/10/2018,15:00,Huddersfield,Swansea
3/10/2018,15:00,Man Utd,Liverpool
3/10/2018,15:00,Newcastle,Southampton
3/10/2018,15:00,Stoke,Man City
3/10/2018,15:00,West Brom,Leicester
3/10/2018,15:00,West Ham,Burnley
3/17/2018,15:00,Bournemouth,West Brom
3/17/2018,15:00,Burnley,Chelsea
3/17/2018,15:00,Huddersfield,Crystal Palace
3/17/2018,15:00,Leicester,Arsenal
3/17/2018,15:00,Liverpool,Watford
3/17/2018,15:00,Man City,Brighton
3/17/2018,15:00,Stoke,Everton
3/17/2018,15:00,Swansea,Southampton
3/17/2018,15:00,Tottenham,Newcastle
3/17/2018,15:00,West Ham,Man Utd
3/31/2018,15:00,Arsenal,Stoke
3/31/2018,15:00,Brighton,Leicester
3/31/2018,15:00,Chelsea,Tottenham
3/31/2018,15:00,Crystal Palace,Liverpool
3/31/2018,15:00,Everton,Man City
3/31/2018,15:00,Man Utd,Swansea
3/31/2018,15:00,Newcastle,Huddersfield
3/31/2018,15:00,Watford,Bournemouth
3/31/2018,15:00,West Brom,Burnley
3/31/2018,15:00,West Ham,Southampton
4/7/2018,15:00,Arsenal,Southampton
4/7/2018,15:00,Bournemouth,Crystal Palace
4/7/2018,15:00,Brighton,Huddersfield
4/7/2018,15:00,Chelsea,West Ham
4/7/2018,15:00,Everton,Liverpool
4/7/2018,15:00,Leicester,Newcastle
4/7/2018,15:00,Man City,Man Utd
4/7/2018,15:00,Stoke,Tottenham
4/7/2018,15:00,Watford,Burnley
4/7/2018,15:00,West Brom,Swansea
4/14/2018,15:00,Burnley,Leicester
4/14/2018,15:00,Crystal Palace,Brighton
4/14/2018,15:00,Huddersfield,Watford
4/14/2018,15:00,Liverpool,Bournemouth
4/14/2018,15:00,Man Utd,West Brom
4/14/2018,15:00,Newcastle,Arsenal
4/14/2018,15:00,Southampton,Chelsea
4/14/2018,15:00,Swansea,Everton
4/14/2018,15:00,Tottenham,Man City
4/14/2018,15:00,West Ham,Stoke
4/21/2018,15:00,Arsenal,West Ham
4/21/2018,15:00,Bournemouth,Man Utd
4/21/2018,15:00,Brighton,Tottenham
4/21/2018,15:00,Chelsea,Huddersfield
4/21/2018,15:00,Everton,Newcastle
4/21/2018,15:00,Leicester,Southampton
4/21/2018,15:00,Man City,Swansea
4/21/2018,15:00,Stoke,Burnley
4/21/2018,15:00,Watford,Crystal Palace
4/21/2018,15:00,West Brom,Liverpool
4/28/2018,15:00,Burnley,Brighton
4/28/2018,15:00,Crystal Palace,Leicester
4/28/2018,15:00,Huddersfield,Everton
4/28/2018,15:00,Liverpool,Stoke
4/28/2018,15:00,Man Utd,Arsenal
4/28/2018,15:00,Newcastle,West Brom
4/28/2018,15:00,Southampton,Bournemouth
4/28/2018,15:00,Swansea,Chelsea
4/28/2018,15:00,Tottenham,Watford
4/28/2018,15:00,West Ham,Man City
5/5/2018,15:00,Arsenal,Burnley
5/5/2018,15:00,Bournemouth,Swansea
5/5/2018,15:00,Brighton,Man Utd
5/5/2018,15:00,Chelsea,Liverpool
5/5/2018,15:00,Everton,Southampton
5/5/2018,15:00,Leicester,West Ham
5/5/2018,15:00,Man City,Huddersfield
5/5/2018,15:00,Stoke,Crystal Palace
5/5/2018,15:00,Watford,Newcastle
5/5/2018,15:00,West Brom,Tottenham
5/13/2018,15:00,Burnley,Bournemouth
5/13/2018,15:00,Crystal Palace,West Brom
5/13/2018,15:00,Huddersfield,Arsenal
5/13/2018,15:00,Liverpool,Brighton
5/13/2018,15:00,Man Utd,Watford
5/13/2018,15:00,Newcastle,Chelsea
5/13/2018,15:00,Southampton,Man City
5/13/2018,15:00,Swansea,Stoke
5/13/2018,15:00,Tottenham,Leicester
5/13/2018,15:00,West Ham,Everton
