"season","team","opponent","playing","half","goals"
"2012/13","Reading","Sunderland",0,"first",0
"2012/13","Newcastle","Man City",1,"first",0
"2012/13","Norwich","Wigan",1,"first",1
"2012/13","QPR","Fulham",1,"first",0
"2012/13","Liverpool","Aston Villa",1,"first",0
"2012/13","Man Utd","Sunderland",1,"first",2
"2012/13","Stoke","Everton",1,"first",0
"2012/13","Man City","Newcastle",0,"first",2
"2012/13","Wigan","Norwich",0,"first",0
"2012/13","Fulham","QPR",0,"first",0
"2012/13","Aston Villa","Liverpool",0,"first",2
"2012/13","Sunderland","Man Utd",0,"first",0
"2012/13","Everton","Stoke",0,"first",1
"2012/13","Tottenham","Swansea",1,"first",0
"2012/13","West Brom","West Ham",1,"first",0
"2012/13","Swansea","Tottenham",0,"first",0
"2012/13","West Ham","West Brom",0,"first",0
"2012/13","Reading","Arsenal",1,"first",0
"2012/13","Arsenal","Reading",0,"first",3
"2012/13","Southampton","Sunderland",1,"first",0
"2012/13","Newcastle","QPR",1,"first",0
"2012/13","Man City","Reading",1,"first",0
"2012/13","West Brom","Norwich",1,"first",1
"2012/13","Tottenham","Stoke",1,"first",0
"2012/13","Wigan","Arsenal",1,"first",0
"2012/13","Liverpool","Fulham",1,"first",2
"2012/13","West Ham","Everton",1,"first",1
"2012/13","Sunderland","Southampton",0,"first",1
"2012/13","QPR","Newcastle",0,"first",0
"2012/13","Reading","Man City",0,"first",0
"2012/13","Norwich","West Brom",0,"first",1
"2012/13","Stoke","Tottenham",0,"first",0
"2012/13","Arsenal","Wigan",0,"first",0
"2012/13","Fulham","Liverpool",0,"first",0
"2012/13","Everton","West Ham",0,"first",0
"2012/13","Chelsea","Aston Villa",1,"first",3
"2012/13","Swansea","Man Utd",1,"first",1
"2012/13","Aston Villa","Chelsea",0,"first",0
"2012/13","Man Utd","Swansea",0,"first",1
"2012/13","Stoke","Liverpool",1,"first",2
"2012/13","Aston Villa","Tottenham",1,"first",0
"2012/13","Sunderland","Man City",1,"first",0
"2012/13","Reading","Swansea",1,"first",0
"2012/13","QPR","West Brom",1,"first",0
"2012/13","Norwich","Chelsea",1,"first",0
"2012/13","Man Utd","Newcastle",1,"first",1
"2012/13","Fulham","Southampton",1,"first",1
"2012/13","Everton","Wigan",1,"first",0
"2012/13","Liverpool","Stoke",0,"first",1
"2012/13","Tottenham","Aston Villa",0,"first",0
"2012/13","Man City","Sunderland",0,"first",0
"2012/13","Swansea","Reading",0,"first",0
"2012/13","West Brom","QPR",0,"first",1
"2012/13","Chelsea","Norwich",0,"first",1
"2012/13","Newcastle","Man Utd",0,"first",2
"2012/13","Southampton","Fulham",0,"first",0
"2012/13","Wigan","Everton",0,"first",0
"2012/13","Reading","West Ham",1,"first",1
"2012/13","Arsenal","Newcastle",1,"first",1
"2012/13","Fulham","Swansea",1,"first",0
"2012/13","Man Utd","West Brom",1,"first",1
"2012/13","Stoke","Southampton",1,"first",1
"2012/13","Norwich","Man City",1,"first",1
"2012/13","Aston Villa","Wigan",1,"first",0
"2012/13","Sunderland","Tottenham",1,"first",1
"2012/13","West Ham","Reading",0,"first",0
"2012/13","Newcastle","Arsenal",0,"first",1
"2012/13","Swansea","Fulham",0,"first",1
"2012/13","West Brom","Man Utd",0,"first",0
"2012/13","Southampton","Stoke",0,"first",3
"2012/13","Man City","Norwich",0,"first",2
"2012/13","Wigan","Aston Villa",0,"first",1
"2012/13","Tottenham","Sunderland",0,"first",0
"2012/13","QPR","Liverpool",1,"first",0
"2012/13","Everton","Chelsea",1,"first",1
"2012/13","Liverpool","QPR",0,"first",3
"2012/13","Chelsea","Everton",0,"first",1
"2012/13","West Brom","Fulham",1,"first",0
"2012/13","West Ham","Norwich",1,"first",2
"2012/13","Wigan","Man Utd",1,"first",0
"2012/13","Man City","Stoke",1,"first",1
"2012/13","Swansea","Aston Villa",1,"first",1
"2012/13","Tottenham","Reading",1,"first",1
"2012/13","Southampton","Arsenal",1,"first",1
"2012/13","Fulham","West Brom",0,"first",1
"2012/13","Norwich","West Ham",0,"first",0
"2012/13","Man Utd","Wigan",0,"first",2
"2012/13","Stoke","Man City",0,"first",0
"2012/13","Aston Villa","Swansea",0,"first",1
"2012/13","Reading","Tottenham",0,"first",1
"2012/13","Arsenal","Southampton",0,"first",1
"2012/13","Chelsea","QPR",1,"first",0
"2012/13","Liverpool","Sunderland",1,"first",2
"2012/13","Newcastle","Everton",1,"first",1
"2012/13","QPR","Chelsea",0,"first",0
"2012/13","Sunderland","Liverpool",0,"first",0
"2012/13","Everton","Newcastle",0,"first",1
"2012/13","QPR","Tottenham",1,"first",0
"2012/13","Reading","West Brom",1,"first",0
"2012/13","Stoke","Chelsea",1,"first",0
"2012/13","Sunderland","West Ham",1,"first",1
"2012/13","Aston Villa","Southampton",1,"first",0
"2012/13","Everton","Swansea",1,"first",0
"2012/13","Fulham","Wigan",1,"first",1
"2012/13","Norwich","Newcastle",1,"first",0
"2012/13","Tottenham","QPR",0,"first",0
"2012/13","West Brom","Reading",0,"first",1
"2012/13","Chelsea","Stoke",0,"first",1
"2012/13","West Ham","Sunderland",0,"first",0
"2012/13","Southampton","Aston Villa",0,"first",1
"2012/13","Swansea","Everton",0,"first",0
"2012/13","Wigan","Fulham",0,"first",0
"2012/13","Newcastle","Norwich",0,"first",0
"2012/13","Man Utd","Liverpool",1,"first",1
"2012/13","Arsenal","Man City",1,"first",0
"2012/13","Liverpool","Man Utd",0,"first",0
"2012/13","Man City","Arsenal",0,"first",2
"2012/13","Chelsea","Southampton",1,"first",2
"2012/13","Southampton","Chelsea",0,"first",0
"2012/13","Swansea","Stoke",1,"first",0
"2012/13","Liverpool","Norwich",1,"first",2
"2012/13","Man City","Fulham",1,"first",1
"2012/13","Newcastle","Reading",1,"first",1
"2012/13","West Ham","QPR",1,"first",0
"2012/13","Wigan","Sunderland",1,"first",1
"2012/13","West Brom","Aston Villa",1,"first",0
"2012/13","Stoke","Swansea",0,"first",0
"2012/13","Norwich","Liverpool",0,"first",0
